pair_id,customer_tweet_id,brand_tweet_id,customer_text,brand_reply,created_at,source,weak_intent
154828_154827,154828,154827,@TwitterSupport Help please?,"@151498 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Fri Nov 24 14:21:27 +0000 2017,kaggle,thanks_or_other
154831_154830,154831,154830,@151500 @151501 @TwitterSupport plz help @151500,"@151499 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Fri Nov 24 13:19:22 +0000 2017,kaggle,thanks_or_other
183919_183918,183919,183918,@TwitterSupport help,@159264 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 02:41:46 +0000 2017,kaggle,thanks_or_other
190134_190133,190134,190133,@TwitterSupport I'm being bullied what should I do?,@160582 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 01:55:38 +0000 2017,kaggle,thanks_or_other
190136_190135,190136,190135,Yep I'm 15. @TwitterSupport this guys trying to harass me &amp; im 15,@160583 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 01:07:49 +0000 2017,kaggle,safety_or_abuse
190981_190980,190981,190980,@160844 @12342 Threatening violence. @twittersupport @12 Reported and blocked.,"@119334 Hi, please send us a message and we'll look into this with you.",Wed Oct 04 21:41:40 +0000 2017,kaggle,safety_or_abuse
190984_190983,190984,190983,PLEASE REPORT THIS USER/ABUSER/Anarchist to @123765 @TwitterSupport @12 ASK that this account person be permanently REMOVED 🙏🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,"@160845 Hi, please send us a message and we'll look into this with you.",Wed Oct 04 20:18:36 +0000 2017,kaggle,safety_or_abuse
190993_190991,190993,190991,@160848 @12385 @TwitterSupport pls help a fella out @123765,"@160847 Thanks for reaching out, we are happy to help. Please send us a message and we can get started.",Wed Oct 04 19:37:59 +0000 2017,kaggle,thanks_or_other
190996_190995,190996,190995,@12 @123765 @TwitterSupport @12169 @12170 help?,@160849 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Wed Oct 04 18:39:22 +0000 2017,kaggle,thanks_or_other
191000_190999,191000,190999,@123765 @TwitterSupport Need help!! Please help in logging in this account @12347,"@160850 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Wed Oct 04 18:57:14 +0000 2017,kaggle,thanks_or_other
191002_191001,191002,191001,@TwitterSupport @12589 @123765 could you help pls????,@160851 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Oct 04 18:56:42 +0000 2017,kaggle,thanks_or_other
191006_191005,191006,191005,@TwitterSupport pls help,@160852 We are here to help. Please send us a message and we'll get started looking into this for you.,Wed Oct 04 18:37:51 +0000 2017,kaggle,thanks_or_other
191008_191007,191008,191007,"@TwitterSupport I can't log in to my account, and I have written to support so many times but still no solution, Username: @12303",@160853 We are here to help. Please send us a message and we'll get started looking into this for you.,Wed Oct 04 17:53:05 +0000 2017,kaggle,account_access
191010_191009,191010,191009,@TwitterSupport I’m being bullied,@160854 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Wed Oct 04 17:36:24 +0000 2017,kaggle,thanks_or_other
191012_191011,191012,191011,Hey @TwitterSupport i need Help,"@160855 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Wed Oct 04 17:29:02 +0000 2017,kaggle,thanks_or_other
191015_191013,191015,191013,"@@TwitterSupport Unable to reset password on regular account, bad link, Using new account to ask for help. Regular acct- @160857.","@160856 Thanks for reaching out, we are happy to help. Please send us a message and we can get started.",Wed Oct 04 17:04:27 +0000 2017,kaggle,account_access
191018_191017,191018,191017,@TwitterSupport Hi! I'm trying to do a password reset but the email address tied to this account has been shutdown (domain closed). Help!,"@160858 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Wed Oct 04 16:20:08 +0000 2017,kaggle,account_access
191020_191019,191020,191019,@TwitterSupport i need help,"@160859 Thanks for reaching out, we are happy to help. Please send us a message and we can get started.",Wed Oct 04 13:12:59 +0000 2017,kaggle,thanks_or_other
191022_191021,191022,191021,"@TwitterSupport hi, I need your help.","@160860 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Wed Oct 04 13:12:51 +0000 2017,kaggle,thanks_or_other
191024_191023,191024,191023,@TwitterSupport help,@160861 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Oct 04 11:43:44 +0000 2017,kaggle,thanks_or_other
191026_191025,191026,191025,@12121 account was created by Ex team members of our company. please remove this account. @784 @TwitterSupport,@160862 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Oct 04 11:26:30 +0000 2017,kaggle,thanks_or_other
191028_191027,191028,191027,"@TwitterSupport hi, I need help","@160863 Hi, please send us a message and we'll look into this with you.",Wed Oct 04 09:58:48 +0000 2017,kaggle,thanks_or_other
191031_191029,191031,191029,@TwitterSupport I need help logging into my old twitter account. I no longer have access to the registered email. @12287 - help me,"@160864 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Wed Oct 04 08:56:11 +0000 2017,kaggle,thanks_or_other
191035_191034,191035,191034,"@TwitterSupport I cant get back my account ,I know the username and password but I can't answer the security question ( email ) I forgot it","@160865 Hi, please send us a message and we'll look into this with you.",Wed Oct 04 08:41:57 +0000 2017,kaggle,account_access
191037_191036,191037,191036,@TwitterSupport Ive been locked out of a previous account with the wrong phone number my email is available i need help,@160866 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Oct 04 05:31:52 +0000 2017,kaggle,suspension_or_lock
191039_191038,191039,191038,.@TwitterSupport this seems unnecessarily violent.,"@160867 Hi, please send us a message and we'll look into this with you.",Wed Oct 04 04:04:39 +0000 2017,kaggle,thanks_or_other
191041_191040,191041,191040,@160869 Please stop. @TwitterSupport can you tell this guy to stop Tweeting at me and retweeting me to get his followers to harass me?,"@160868 Hi, please send us a message and we'll look into this with you.",Wed Oct 04 00:48:58 +0000 2017,kaggle,safety_or_abuse
191054_191053,191054,191053,@TwitterSupport help me,"@160870 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Wed Oct 04 00:13:10 +0000 2017,kaggle,thanks_or_other
191056_191055,191056,191055,@TwitterSupport @160872 I’d also like to make a report on @12212 and @12213 harassing me,@160871 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Oct 04 00:10:16 +0000 2017,kaggle,safety_or_abuse
191060_191059,191060,191059,@TwitterSupport hello i need you help about my account please help me,@10615 We are here to help. Please send us a message and we'll get started looking into this for you.,Tue Oct 03 23:59:44 +0000 2017,kaggle,thanks_or_other
191062_191061,191062,191061,@TwitterSupport - another tweet from this user suggesting violent action against elected officials or threats of harm,"@160874 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Tue Oct 03 21:09:54 +0000 2017,kaggle,safety_or_abuse
191064_191063,191064,191063,"Hi @TwitterSupport, company email was deleted and we lost access to our account. Nothing is working. Help! See @12120",@160875 We are here to help. Please send us a message and we'll get started looking into this for you.,Tue Oct 03 21:09:15 +0000 2017,kaggle,thanks_or_other
191066_191065,191066,191065,@160877 You need to be reported to Twitter and your account closed. @TwitterSupport please review this tweet from@rieni_otten we are reporting,"@160876 Hi, please send us a message and we'll look into this with you.",Tue Oct 03 19:56:41 +0000 2017,kaggle,safety_or_abuse
191069_191068,191069,191068,"@160879 @TwitterSupport ""Clare"" is threatening a charity event in Las Vegas. This type of account should not exist on Twitter. Thank you.",@160878 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Tue Oct 03 19:44:54 +0000 2017,kaggle,safety_or_abuse
191074_191073,191074,191073,@123765 @TwitterSupport help me,@160881 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Tue Oct 03 19:20:14 +0000 2017,kaggle,thanks_or_other
191077_191076,191077,191076,"You are encouraging hatred by abusing. 03 Oct, 17 11:44 pm. Report Tweet. #AbuseFreeIndia #Swachhagraha @TwitterSupport @160883","@10617 Hi, please send us a message and we'll look into this with you.",Tue Oct 03 18:14:24 +0000 2017,kaggle,safety_or_abuse
191079_191078,191079,191078,@TwitterSupport Take a look at this racist account. Plenty of tweets on there about Jews. @12266,"@160884 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Tue Oct 03 18:00:14 +0000 2017,kaggle,thanks_or_other
191081_191080,191081,191080,this girl is bullying me @TwitterSupport,@160885 Thanks for letting us know. Please send us a message and we'll work on getting this resolved for you.,Tue Oct 03 17:14:00 +0000 2017,kaggle,safety_or_abuse
191085_191084,191085,191084,@TwitterSupport plz look in2 @6276 acct he was suspended before &amp; is back at spreading hate/propaganda Inciting violence at Vegas,@160887 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Tue Oct 03 14:01:36 +0000 2017,kaggle,safety_or_abuse
191087_191086,191087,191086,@TwitterSupport I mistakenly added a new account to my phone number and want to only use this one. Help!,@160888 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Tue Oct 03 12:26:16 +0000 2017,kaggle,privacy_or_data
191089_191088,191089,191088,@TwitterSupport I need your help its very important. Please help me :(,@10615 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Tue Oct 03 08:39:42 +0000 2017,kaggle,thanks_or_other
191091_191090,191091,191090,I need ur help urgently @TwitterSupport,"@160889 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Tue Oct 03 07:42:05 +0000 2017,kaggle,thanks_or_other
191124_191123,191124,191123,@TwitterSupport please help,"@160904 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Tue Oct 03 07:07:19 +0000 2017,kaggle,thanks_or_other
191126_191125,191126,191125,@TwitterSupport How can I get twitter help?,@160905 We are here to help. Please send us a message and we'll get started looking into this for you.,Tue Oct 03 05:20:55 +0000 2017,kaggle,feature_how_to
191128_191127,191128,191127,Help Me @TwitterSupport,"@160906 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Tue Oct 03 05:13:37 +0000 2017,kaggle,thanks_or_other
191130_191129,191130,191129,@160883 @TwitterSupport look at this handle ! Don't know who is oprating. But he is harassing me .,@10617 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Tue Oct 03 04:18:55 +0000 2017,kaggle,safety_or_abuse
191133_191132,191133,191132,@TwitterSupport @784 @TwitterSupport plzzz help me😰,"@160907 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Tue Oct 03 02:42:55 +0000 2017,kaggle,thanks_or_other
191136_191135,191136,191135,hi @TwitterSupport marissa is being mean to me and would unstan me bplease help,@160908 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Tue Oct 03 01:35:51 +0000 2017,kaggle,thanks_or_other
191138_191137,191138,191137,@TwitterSupport Im rongomez@rongomezre w/new email/pass. I wnt 2 remove my old rongomez@rongomez1 but dn't have old email/password How pls?,"@160909 Hi, please send us a message and we'll look into this with you.",Tue Oct 03 01:18:10 +0000 2017,kaggle,account_access
191215_191214,191215,191214,@TwitterSupport I need your help please,@10615 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 23:53:07 +0000 2017,kaggle,thanks_or_other
191217_191216,191217,191216,. @TwitterSupport @123765 this account @160927 has threatened Trump supporters. I want to report abusive tweet by @160927,@160926 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 23:37:17 +0000 2017,kaggle,safety_or_abuse
191219_191218,191219,191218,@123765 @TwitterSupport Please review this hateful tweet. Clear violation of TOS.,@160928 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 23:33:03 +0000 2017,kaggle,safety_or_abuse
191221_191220,191221,191220,@160927 @123765 @TwitterSupport Reporting threatening behavior.,@160929 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 23:20:53 +0000 2017,kaggle,safety_or_abuse
191223_191222,191223,191222,@123765 @TwitterSupport @160931 #SuspendHer she is threatening people on @123765,@160930 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 23:18:20 +0000 2017,kaggle,safety_or_abuse
191225_191224,191225,191224,@160933 im being cyber bullied @TwitterSupport please suspend this account for their harsh words,"@160932 Hi, please send us a message and we'll look into this with you.",Mon Oct 02 23:13:43 +0000 2017,kaggle,thanks_or_other
191230_191229,191230,191229,@160927 @123765 @TwitterSupport plz review this as a violation of Twitter standards -,@160934 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 23:12:34 +0000 2017,kaggle,thanks_or_other
191233_191232,191233,191232,#LiberalismIsAMentalDisorder hopefully @TwitterSupport will shutdown these accounts calling for violence against ppl #report,@160935 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Mon Oct 02 22:55:13 +0000 2017,kaggle,safety_or_abuse
191235_191234,191235,191234,@TwitterSupport I need your help i followed all instructions to retrieve my old account again. Please help me,"@10615 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Mon Oct 02 22:47:58 +0000 2017,kaggle,thanks_or_other
191237_191236,191237,191236,Hi @12 @TwitterSupport - can you please take care of this? It's extremely inappropriate. Help make the world a better place for once.,@10619 We are here to help. Please send us a message and we'll get started looking into this for you.,Mon Oct 02 22:37:15 +0000 2017,kaggle,app_or_bug
191239_191238,191239,191238,@TwitterSupport I need your assistance. please help me.,@10615 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 22:24:35 +0000 2017,kaggle,thanks_or_other
191241_191240,191241,191240,@TwitterSupport my original account @12340 needs the password reset but i dont have access to the email address connected please help!,@160937 Thanks for letting us know. Please send us a message and we'll work on getting this resolved for you.,Mon Oct 02 22:09:47 +0000 2017,kaggle,account_access
191243_191242,191243,191242,@TwitterSupport Your automation help does not work. Just wanna delete an account.,"@160938 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Mon Oct 02 22:00:01 +0000 2017,kaggle,thanks_or_other
191245_191244,191245,191244,@160940 @TwitterSupport help i’m being harassed,@160939 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 21:16:36 +0000 2017,kaggle,safety_or_abuse
191261_191260,191261,191260,@160941 Troll/bot 👆👆👆@TwitterSupport,@119334 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 20:58:24 +0000 2017,kaggle,spam_or_bots
191264_191263,191264,191263,@TwitterSupport This guys threatening to have me arrested and stabbed in prison are you going to do anything about that?,"@160944 Hi, please send us a message and we'll look into this with you.",Mon Oct 02 20:48:38 +0000 2017,kaggle,safety_or_abuse
191266_191265,191266,191265,@160946 @TwitterSupport Pls help her,"@160945 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Mon Oct 02 20:34:06 +0000 2017,kaggle,thanks_or_other
191269_191268,191269,191268,@TwitterSupport im feeling harassed,@160947 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Mon Oct 02 20:31:40 +0000 2017,kaggle,safety_or_abuse
191271_191270,191271,191270,@TwitterSupport @142484 I tweeted you three hours ago can someone help me?,@160948 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 19:58:48 +0000 2017,kaggle,thanks_or_other
191273_191272,191273,191272,@TwitterSupport i hope you can help?,@142484 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 19:51:40 +0000 2017,kaggle,thanks_or_other
191279_191278,191279,191278,@160951 @160952 @160953 @TwitterSupport @Twittersupport also review @160952 who appears to be a disinformation troll or bot as well.,@160950 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 19:47:06 +0000 2017,kaggle,app_or_bug
191284_191283,191284,191283,"@TwitterSupport @30098 is a troll bot account, most likely run by a Putin troll farm, and is trying to inflame race war.","@160954 Hi, please send us a message and we'll look into this with you.",Mon Oct 02 19:27:17 +0000 2017,kaggle,spam_or_bots
191286_191285,191286,191285,@160956 @TwitterSupport @123765 @160957 ITry to find the tweet an other account.,@160955 We are here to help. Please send us a message and we'll get started looking into this for you.,Mon Oct 02 19:26:06 +0000 2017,kaggle,thanks_or_other
191293_191292,191293,191292,@160958 Troll/bot 👆👆👆@TwitterSupport,"@119334 Hi, please send us a message and we'll look into this with you.",Mon Oct 02 19:23:16 +0000 2017,kaggle,spam_or_bots
191297_191296,191297,191296,@160962 Damn. @TwitterSupport please help her 😔,@160961 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 19:01:44 +0000 2017,kaggle,thanks_or_other
191290_191291,191290,191291,@TwitterSupport @123765 @160957 Twitter can't say it didn't have known this:,"@160955 Hi, please send us a message and we'll look into this with you.",Mon Oct 02 18:51:55 +0000 2017,kaggle,thanks_or_other
191419_191418,191419,191418,@TwitterSupport i have a question,@160994 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 18:31:33 +0000 2017,kaggle,thanks_or_other
191442_191441,191442,191441,@TwitterSupport Um excuse me I need help It's not major But it needs 2 be done,@161004 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 18:21:00 +0000 2017,kaggle,thanks_or_other
191458_191457,191458,191457,@161006 @12 @TwitterSupport @123765 please help he’s harassing me 😤😫,"@161005 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Mon Oct 02 18:04:54 +0000 2017,kaggle,safety_or_abuse
191468_191467,191468,191467,@TwitterSupport please help 🙏🏼,@161007 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 17:31:34 +0000 2017,kaggle,thanks_or_other
191470_191469,191470,191469,"@TwitterSupport I have tried to file a report about a user using one of our brands, but i am confused by your online form, and need help",@161008 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 16:46:01 +0000 2017,kaggle,safety_or_abuse
191472_191471,191472,191471,@161010 @TwitterSupport @152 Need help,@161009 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 16:38:36 +0000 2017,kaggle,thanks_or_other
196211_196210,196211,196210,The same person @TwitterSupport @123765 can they please help me this drama goes so long now and bullying should not be here,@162169 We are here to help. Please send us a message and we'll get started looking into this for you.,Mon Oct 02 07:14:28 +0000 2017,kaggle,safety_or_abuse
196213_196212,196213,196212,"@TwitterSupport I have twice reset my password, but my account is being accessed by some spam account that adds 100+ random followers.","@162170 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Mon Oct 02 05:35:50 +0000 2017,kaggle,spam_or_bots
196215_196214,196215,196214,@162173 @TwitterSupport she’s bullying me,@162172 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Mon Oct 02 04:57:29 +0000 2017,kaggle,safety_or_abuse
204643_204642,204643,204642,@TwitterSupport @123765 Open carry mag is harassing mothers whose children were killed at Sandyhook. Please put a lid on this guy!,"@164454 Thanks for reaching out, we are happy to help. Please send us a message and we can get started.",Mon Oct 02 16:21:37 +0000 2017,kaggle,safety_or_abuse
208874_208873,208874,208873,"@165431 @TwitterSupport @160957 @12, please suspend this account.","@165430 Thanks for reaching out, we are happy to help. Please send us a message and we can get started.",Mon Oct 02 11:13:35 +0000 2017,kaggle,thanks_or_other
219855_219854,219855,219854,@TwitterSupport help message,@168418 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Oct 05 01:11:10 +0000 2017,kaggle,thanks_or_other
224881_224880,224881,224880,@169728 @TwitterSupport I’d like to report an impersonation,@169727 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Oct 05 04:41:39 +0000 2017,kaggle,safety_or_abuse
224885_224884,224885,224884,@169730 @TwitterSupport help I’m a white woman victim of cyber bullying,@169729 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Oct 05 03:55:43 +0000 2017,kaggle,safety_or_abuse
229701_229700,229701,229700,Please @TwitterSupport 👇🏻👇🏻 it’s threatening to kill us.. please investigate this id asap,"@170747 Thanks for reaching out, we are happy to help. Please send us a message and we can get started.",Thu Oct 05 05:19:26 +0000 2017,kaggle,safety_or_abuse
232571_232570,232571,232570,"@TwitterSupport Require help in changing my username, and deactivating my old account",@171359 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Oct 05 08:57:30 +0000 2017,kaggle,thanks_or_other
240258_240257,240258,240257,"@TwitterSupport @12498 the first time he/it posted a photo impersonating me was in July, he deleted that post after I️ reported it but is still stealing my profile photo as of right now",@173062 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Fri Nov 24 22:41:06 +0000 2017,kaggle,safety_or_abuse
240278_240277,240278,240277,i miss my Twitter 😂 @12497 can @TwitterSupport help me !!! @123765 I️ need to get back into my original Twitter,"@173067 Hi, please send us a message and we'll look into this with you.",Fri Nov 24 22:28:33 +0000 2017,kaggle,thanks_or_other
242207_242206,242207,242206,@173524 @TwitterSupport Hi @TwitterSupport - please help!,"@173523 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Thu Oct 05 13:14:01 +0000 2017,kaggle,thanks_or_other
242224_242223,242224,242223,@TwitterSupport this was a threat please do something,"@173530 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Thu Oct 05 14:00:41 +0000 2017,kaggle,safety_or_abuse
242226_242225,242226,242225,@TwitterSupport Can u help in resolving My issue on my account ???,"@173531 Hi, please send us a message and we'll look into this with you.",Thu Oct 05 13:06:53 +0000 2017,kaggle,thanks_or_other
249026_249025,249026,249025,@TwitterSupport hey twitter bot can i talk to a real person for a bit. need a hand old buddy.,"@175170 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Thu Oct 05 16:02:14 +0000 2017,kaggle,feature_how_to
255430_255429,255430,255429,"@TwitterSupport yo dude, help me and my friend @13208 out","@176742 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Thu Oct 05 18:30:33 +0000 2017,kaggle,thanks_or_other
